"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Jean Woods","FEMALES","FEMALE","female","sex","hidden","EN",1,"FEMALES","",0,"blank"
"Jessica Tir","FEMEA","FEMALE","female","sex","hidden","PT",2,"FEMEA","",0,"blank"
"John Bates","FÊMEA","FEMALE","female","sex","preferred","PT",3466,"FÊMEA","",0,"blank"
"Brian Schmidt","FEMELLA","FEMALE","female","sex","hidden","CA",5930,NA,"",0,"FEMALE"
"Serina Brady","FEMELLA | MASCLE","FEMALE | MALE","mixed","sex, dynamicProperties","preferred","CA",6,NA,"",0,"MIXED"
"Andrew Engilis","FEMELLE","FEMALE","female","sex","hidden","FR",14207,NA,"",0,"FEMALE"
"Emily Braker","FEMELLE : ?","FEMALE","indeterminate","sex","hidden","FR",2,NA,"",0,"FEMALE"
"Serina Brady","FEMELLE : CAT. BARRY","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"CAT  BARRY","",0,"FEMALE"
"Erick Alejandro García-Trejo","FEMELLE : D'APRÈS LE CAT. BARRY, P. 103","FEMALE","female","sex","hidden","FR",1,"D APRÈS LE CAT  BARRY  P  103","",0,"FEMALE"
"Laura Abraczinskas","FEMELLE : D'APRÈS LE CAT. BARRY, P. 99","FEMALE","female","sex, dynamicProperties","hidden","FR",2,"D APRÈS LE CAT  BARRY  P  99","",0,"FEMALE"
"Kelly Cassidy","FEMELLE : INDIVIDU À GORGE NOIRE.","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"INDIVIDU À GORGE NOIRE","",0,"FEMALE"
"Peter Hosner","FEMELLE : NOTÉ FEMELLE","FEMALE","female","sex","hidden","FR",3,"NOTÉ","",0,"FEMALE"
"Laura Abraczinskas","FEMELLE : ORIGINAL : MÂLE","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","FR",1,"ORIGINAL   MÂLE","",0,"FEMALE"
