"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Ildiko Szabo","SEXE INDÉTERMINÉ : NOTÉ FEMELLE","FEMALE","female","sex","hidden","FR",49,"SEXE INDÉTERMINÉ : NOTÉ FEMELLE","",0,"FEMALE"
"Jean Woods","SEXE INDÉTERMINÉ : NOTÉ FEMELLE MAIS CE N'EST PAS ÉVIDENT","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"SEXE INDÉTERMINÉ : NOTÉ FEMELLE MAIS CE N'EST PAS ÉVIDENT","",0,"FEMALE"
"Christopher C Witt","SEXE INDÉTERMINÉ : NOTÉ MÂLE","MALE","","sex, dynamicProperties","hidden","FR",101,"SEXE INDÉTERMINÉ : NOTÉ MÂLE","",0,"MALE"
"Brett Benz","SEXE INDÉTERMINÉ : NOTÉE FEMELLE","UNKNOWN | FEMALE","female","sex, dynamicProperties","hidden","FR",1,"SEXE INDÉTERMINÉ : NOTÉE FEMELLE","",0,"FEMALE"
"Irene Engilis","TESTES 9 X 7 MM","MALE","","sex, dynamicProperties","hidden","EN",1,"TESTES 9 X 7 MM","",0,"MALE"
"Erick Alejandro García-Trejo","U","UNKNOWN","","sex, dynamicProperties","hidden","EN",17937,"U","",0,"UNKNOWN"
"Erica Krimmel","U?","UNKNOWN","","sex","hidden","EN",4,"U?","",0,"INDETERMINATE"
"Jeremiah Trimble","UNDETERMINED","UNKNOWN","","sex","alternate","EN",6099,"UNDETERMINED","",0,"UNKNOWN"
"Tom Trombone","UNKNOW","UNKNOWN","","sex","hidden","EN",99,"UNKNOW","",0,"UNKNOWN"
"Tamaki Yuri","UNKNOWN","UNKNOWN","","sex","preferred","EN",288679,"UNKNOWN","",0,"UNKNOWN"
"Andrew Engilis","UNKNOWN; FEMALE","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"UNKNOWN; FEMALE","",0,"FEMALE"
"Jean Woods","UNKNOWN;FEMALE","UNKNOWN | FEMALE","female","sex","preferred","EN",6,"UNKNOWN;FEMALE","",0,"FEMALE"
"Molly Hagemann","UNKNOWN;FEMALE ?","UNKNOWN | FEMALE","female","sex, dynamicProperties","hidden","EN",1,"UNKNOWN;FEMALE ?","",0,"INDETERMINATE"
"Brian Schmidt","UNKNOWN;MALE","UNKNOWN | MALE","male","sex, dynamicProperties","hidden","EN",2,"UNKNOWN;MALE","",0,"MALE"
"Irene Engilis","UNKNOWN;MALE ?","MALE","","sex, dynamicProperties","hidden","EN",1,"UNKNOWN;MALE ?","",0,"INDETERMINATE"
"Moe Flannery","UNKNOWN;RECORDED AS UNKNOWN","UNKNOWN","","sex","hidden","EN",9,"UNKNOWN;RECORDED AS UNKNOWN","",0,"UNKNOWN"
"Angela Hornsby","UNKNOWN;UNKNOWN","UNKNOWN","","sex","hidden","ES",7,"UNKNOWN;UNKNOWN","",0,"UNKNOWN"
"Moe Flannery","UNKOWN","UNKNOWN","","sex","hidden","EN",1,"UNKOWN","",0,"UNSPECIFIED"
"Elizabeth Wommack","UNSEXED","UNKNOWN","","sex","hidden","EN",4792,"UNSEXED","",0,"UNKNOWN"
"Molly Hagemann","W","blank","not specified","sex","hidden","",3,"W","",0,"UNSPECIFIED"
"Jessica Tir","X","UNKNOWN","","sex","hidden","EN",1,"X","",0,"UNSPECIFIED"
"Moe Flannery","유조","blank","not specified","","","",2,"유조","",0,"UNSPECIFIED"
"","","","","","","",5386902,NA,"",4565428,"blank"
"","","","","","","",210,NA,"",NA,"blank"
"","","","","","","",430125,NA,"",NA,"blank"
"","","","","","","",0.920114567,NA,"",0.784810383,"blank"
"","","","","","","",NA,NA,"total",NA,"blank"
